"group","VPNr","Alter","Geschlecht","Haendigkeit","Sehschwaeche","Farbfehlsichtigkeit","Hoerschwaeche","Fuehrerschein","Fahrtfrequenz","Fahrtstrecke","FrequenzAutobahn","StreckeAutobahn","KenntnisAS.CC.","KenntnisAS.ACC.","KenntnisAS.Spurhalte.","KenntnisAS.Stauassistent.","KenntnisAS.ParkAssist.","KenntnisAS.Teilautomation.","DSQ_Speed","DSQ_Calmness","DSQ_SocialResistance","DSQ_Focus","DSQ_Planning","DSQ_Deviance","ATIS","FiltHerstellerCC.VW.","FiltHerstellerCC.Opel.","FiltHerstellerCC.Mercedes.","FiltHerstellerCC.Ford.","FiltHerstellerCC.BMW.","FiltHerstellerCC.Audi.","FiltHerstellerCC.Skoda.","FiltHerstellerCC.Renault.","FiltHerstellerCC.Toyota.","FiltHerstellerCC.Seat.","FiltHerstellerCC.Hyundai.","FiltHerstellerCC.Fiat.","FiltHerstellerCC.Nissan.","FiltHerstellerCC.Peugeot.","FiltHerstellerCC.Mazda.","FiltHerstellerCC.Kia.","FiltHerstellerCC.Dacia.","FiltHerstellerCC.Citroen.","FiltHerstellerCC.Volvo.","FiltHerstellerCC.Mitsubishi.","FiltHerstellerCC.other.","FiltHerstellerACC.VW.","FiltHerstellerACC.Opel.","FiltHerstellerACC.Mercedes.","FiltHerstellerACC.Ford.","FiltHerstellerACC.BMW.","FiltHerstellerACC.Audi.","FiltHerstellerACC.Skoda.","FiltHerstellerACC.Renault.","FiltHerstellerACC.Toyota.","FiltHerstellerACC.Seat.","FiltHerstellerACC.Hyundai.","FiltHerstellerACC.Fiat.","FiltHerstellerACC.Nissan.","FiltHerstellerACC.Peugeot.","FiltHerstellerACC.Mazda.","FiltHerstellerACC.Kia.","FiltHerstellerACC.Dacia.","FiltHerstellerACC.Citroen.","FiltHerstellerACC.Volvo.","FiltHerstellerACC.Mitsubishi.","FiltHerstellerACC.other.","FiltHerstellerSpurha.VW.","FiltHerstellerSpurha.Opel.","FiltHerstellerSpurha.Mercedes.","FiltHerstellerSpurha.Ford.","FiltHerstellerSpurha.BMW.","FiltHerstellerSpurha.Audi.","FiltHerstellerSpurha.Skoda.","FiltHerstellerSpurha.Renault.","FiltHerstellerSpurha.Toyota.","FiltHerstellerSpurha.Seat.","FiltHerstellerSpurha.Hyundai.","FiltHerstellerSpurha.Fiat.","FiltHerstellerSpurha.Nissan.","FiltHerstellerSpurha.Peugeot.","FiltHerstellerSpurha.Mazda.","FiltHerstellerSpurha.Kia.","FiltHerstellerSpurha.Dacia.","FiltHerstellerSpurha.Citroen.","FiltHerstellerSpurha.Volvo.","FiltHerstellerSpurha.Mitsubishi.","FiltHerstellerSpurha.other.","FiltHerstellerStauas.VW.","FiltHerstellerStauas.Opel.","FiltHerstellerStauas.Mercedes.","FiltHerstellerStauas.Ford.","FiltHerstellerStauas.BMW.","FiltHerstellerStauas.Audi.","FiltHerstellerStauas.Skoda.","FiltHerstellerStauas.Renault.","FiltHerstellerStauas.Toyota.","FiltHerstellerStauas.Seat.","FiltHerstellerStauas.Hyundai.","FiltHerstellerStauas.Fiat.","FiltHerstellerStauas.Nissan.","FiltHerstellerStauas.Peugeot.","FiltHerstellerStauas.Mazda.","FiltHerstellerStauas.Kia.","FiltHerstellerStauas.Dacia.","FiltHerstellerStauas.Citroen.","FiltHerstellerStauas.Volvo.","FiltHerstellerStauas.Mitsubishi.","FiltHerstellerStauas.other.","FiltHerstellerParkAs.VW.","FiltHerstellerParkAs.Opel.","FiltHerstellerParkAs.Mercedes.","FiltHerstellerParkAs.Ford.","FiltHerstellerParkAs.BMW.","FiltHerstellerParkAs.Audi.","FiltHerstellerParkAs.Skoda.","FiltHerstellerParkAs.Renault.","FiltHerstellerParkAs.Toyota.","FiltHerstellerParkAs.Seat.","FiltHerstellerParkAs.Hyundai.","FiltHerstellerParkAs.Fiat.","FiltHerstellerParkAs.Nissan.","FiltHerstellerParkAs.Peugeot.","FiltHerstellerParkAs.Mazda.","FiltHerstellerParkAs.Kia.","FiltHerstellerParkAs.Dacia.","FiltHerstellerParkAs.Citroen.","FiltHerstellerParkAs.Volvo.","FiltHerstellerParkAs.Mitsubishi.","FiltHerstellerParkAs.other.","FiltHerstellerTeilau.VW.","FiltHerstellerTeilau.Opel.","FiltHerstellerTeilau.Mercedes.","FiltHerstellerTeilau.Ford.","FiltHerstellerTeilau.BMW.","FiltHerstellerTeilau.Audi.","FiltHerstellerTeilau.Skoda.","FiltHerstellerTeilau.Renault.","FiltHerstellerTeilau.Toyota.","FiltHerstellerTeilau.Seat.","FiltHerstellerTeilau.Hyundai.","FiltHerstellerTeilau.Fiat.","FiltHerstellerTeilau.Nissan.","FiltHerstellerTeilau.Peugeot.","FiltHerstellerTeilau.Mazda.","FiltHerstellerTeilau.Kia.","FiltHerstellerTeilau.Dacia.","FiltHerstellerTeilau.Citroen.","FiltHerstellerTeilau.Volvo.","FiltHerstellerTeilau.Mitsubishi.","FiltHerstellerTeilau.other.","Fahrstil.DSQ1.","Fahrstil.DSQ2.","Fahrstil.DSQ3.","Fahrstil.DSQ4.","Fahrstil.DSQ5.","Fahrstil.DSQ6.","Fahrstil.DSQ7.","Fahrstil.DSQ8.","Fahrstil.DSQ9.","Fahrstil.DSQ10.","Fahrstil.DSQ11.","Fahrstil.DSQ12.","Fahrstil.DSQ13.","Fahrstil.DSQ14.","Fahrstil.DSQ15.","Technikaffinitaet.ATIS1.","Technikaffinitaet.ATIS2.","Technikaffinitaet.ATIS3.","Technikaffinitaet.ATIS4.","Technikaffinitaet.ATIS5.","Technikaffinitaet.ATIS6.","Technikaffinitaet.ATIS7.","Technikaffinitaet.ATIS8.","Technikaffinitaet.ATIS9."
"B",52,50,0,0,1,0,0,1989,3,2,2,1,3,1,1,1,2,1,3,17,5,17,6,4,5.777777777777778,"Y","","","","Y","Y","","","Y","Y","","","","","","","","","","","","","","","","","","",NA,"","","","",NA,"",NA,"",NA,"","",NA,"","","","",NA,"","","",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","","","","","","Y",NA,"","",NA,"",NA,NA,NA,"","",NA,NA,"",NA,"",NA,"","",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,"",NA,NA,"",1,1,1,1,5,1,3,1,6,6,5,3,2,3,1,6,6,6,5,6,6,6,6,5
"B",53,67,0,0,0,0,0,1972,4,2,3,2,3,2,1,1,1,1,4,17,3,17,11,4,5.555555555555555,"","","","","Y","","Y","","","","","","","","","","","","Y","","Tesla","","","","","Y","","",NA,"","","","",NA,"",NA,"",NA,"","Y",NA,"Tesla","","","",NA,"","","",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","","","","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,NA,"",NA,"",NA,"","",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,"",NA,NA,"",1,2,1,1,6,2,5,1,6,5,6,2,6,3,1,6,6,4,6,6,6,6,5,5
"B",54,55,0,0,0,0,2,1986,4,2,3,2,3,1,0,0,0,0,7,18,6,13,10,6,6,"","","","","","","","","","","","","","","","","","","Y","","","","","","","","","",NA,"","","","",NA,"",NA,"",NA,"","",NA,"","","","",NA,"","","",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","","","","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,NA,"",NA,"",NA,"","",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,"",NA,NA,"",1,5,1,1,6,1,3,2,6,5,2,1,4,5,1,6,6,6,6,6,6,6,6,6
"B",55,23,0,0,1,0,0,2017,4,3,3,3,3,3,2,2,1,1,5,18,5,18,8,3,5.777777777777778,"Y","","","","Y","Y","","","","","","","","","","","","","","","Jaguar","Y","","","","Y","Y","",NA,"","","","",NA,"",NA,"",NA,"","",NA,"","","","",NA,"","Y","",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Tesla","","","","","","","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,NA,"",NA,"",NA,"","",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,"",NA,NA,"",1,2,2,1,6,1,4,2,6,6,6,3,4,2,1,6,6,5,6,6,5,6,6,6
"B",56,35,0,0,1,0,0,2005,2,1,2,1,3,1,1,1,1,1,5,16,6,15,4,6,4.222222222222222,"","","Y","","Y","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","",NA,"",NA,"",NA,"","",NA,"","","","",NA,"","","",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","","","","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,NA,"",NA,"",NA,"","",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,"",NA,NA,"",2,1,2,1,5,2,4,3,5,6,4,5,2,5,1,5,6,5,4,4,4,5,2,3
"B",57,33,0,0,1,0,0,2014,3,3,2,2,3,1,1,1,1,0,4,17,3,18,5,5,5.333333333333333,"","","","","","","","","","","Y","","","","","","","","","","","","","","","","","",NA,"","","","",NA,"",NA,"",NA,"","",NA,"","","","",NA,"","","",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","","","","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,NA,"",NA,"",NA,"","",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,"",NA,NA,"",1,2,1,1,5,1,5,1,6,6,6,4,2,4,1,5,6,5,6,6,5,5,6,4
"B",58,23,0,0,1,0,0,2016,4,3,4,2,3,2,1,1,2,1,6,18,5,18,2,4,4.888888888888889,"Y","","Y","","Y","","","","","","","","","","","","","","","","","","","","","Y","","",NA,"","","","",NA,"",NA,"",NA,"","",NA,"","","","",NA,"","","",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","","Y","","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,NA,"",NA,"",NA,"","",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,"",NA,NA,"",2,3,1,1,6,1,3,1,6,6,6,6,1,3,1,6,6,6,5,5,5,3,3,5
"B",59,28,1,0,1,0,0,2013,4,2,4,2,2,1,1,1,1,1,10,12,6,11,8,4,3.6666666666666665,"","","","Y","Y","","","","","","","","","Y","","","","","","","","","","","","","","",NA,"","","","",NA,"",NA,"",NA,"","",NA,"","","","",NA,"","","",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","","","","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,NA,"",NA,"",NA,"","",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,"",NA,NA,"",4,4,2,3,4,3,4,3,5,3,3,2,3,3,1,5,5,4,3,3,3,4,3,3
"B",60,26,0,1,1,0,0,2013,2,2,2,1,3,1,1,1,1,1,8,12,4,12,12,5,5.333333333333333,"","","Y","","Y","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","",NA,"",NA,"",NA,"","",NA,"","","","",NA,"","","",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","","","","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,NA,"",NA,"",NA,"","",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,"",NA,NA,"",2,4,2,3,4,3,5,2,6,5,1,1,6,4,1,5,6,6,5,5,6,5,5,5
"B",61,21,0,0,0,0,0,2017,4,3,3,2,3,2,2,1,2,1,5,16,5,13,8,4,4.777777777777778,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","","Y","","Y","","Y","Y","",NA,"","","","",NA,"",NA,"",NA,"","",NA,"","Y","","Y",NA,"Y","Y","",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Y","","Y","Y","Y","Y","Y","Y","",NA,"Y","Y",NA,"",NA,NA,NA,"","",NA,NA,"",NA,"",NA,"","",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,"",NA,NA,"",3,1,1,1,5,2,4,2,4,5,4,3,4,3,1,5,6,5,4,5,4,5,4,5
